發生時間	發生地點	死亡受傷人數	車種	經度	緯度
110年01月01日	高雄市鹽埕區大勇路113號前0.0公尺	死亡0;受傷1	自用-小客車;自用-小客車;普通重型-機車	120.284467	22.625194
110年01月01日	高雄市新興區中山一路 / 高雄市新興區中正三路	死亡0;受傷2	自用-小客車;普通重型-機車;乘客-人	120.301956	22.631297
110年01月01日	高雄市阿蓮區復安里復安215號前0.0公尺前	死亡0;受傷1	普通重型-機車	120.3395	22.85036
110年01月01日	高雄市鳳山區自強一路 / 高雄市鳳山區五福一路	死亡0;受傷2	普通重型-機車;普通重型-機車;乘客-人	120.328118	22.590155
110年01月01日	高雄市左營區民族一路709號前0.0公尺	死亡0;受傷1	普通重型-機車;自用-小客車	120.317481	22.67201
110年01月01日	高雄市三民區九如一路 / 高雄市三民區教仁路	死亡0;受傷2	自用-小客車;普通重型-機車;乘客-人	120.327	22.639
110年01月01日	高雄市大寮區溪寮路56-22號前0.0公尺	死亡0;受傷1	普通重型-機車	120.421066	22.627984
110年01月01日	高雄市大社區中山路中山高幹35號前0.0公尺	死亡0;受傷1	普通重型-機車	120.355451	22.73089
110年01月01日	高雄市左營區文自路 / 高雄市左營區曾子路	死亡0;受傷3	自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人	120.30152	22.62716
110年01月01日	高雄市鳳山區文龍東路前0.0公尺	死亡0;受傷1	自用-小客車;普通重型-機車	120.365818	22.640692
110年01月01日	高雄市旗山區台22省道統嶺130燈桿號前0.0公尺	死亡0;受傷1	普通重型-機車	120.4308	22.77452
110年01月01日	高雄市阿蓮區復安路.號前0.0公尺前	死亡0;受傷4	普通重型-機車;普通重型-機車;乘客-人;乘客-人	120.3111	22.86055
110年01月01日	高雄市仁武區高楠公路 / 高雄市仁武區八德二路	死亡0;受傷1	自用-小客車;普通重型-機車	120.323516	22.701419
110年01月01日	高雄市新興區中山一路 / 高雄市新興區大同一路	死亡0;受傷1	自用-小客車;行人-人	120.30165	22.629104
110年01月01日	高雄市楠梓區國道1號 356公里100.0公尺處北側向內側	死亡0;受傷1	自用-小貨車(含客、貨兩用);營業用-半聯結車;營業用-半聯結車	120.333246	22.724633
110年01月01日	高雄市三民區建元路 / 高雄市三民區建工路	死亡0;受傷2	普通重型-機車;普通重型-機車	120.317	22.648
110年01月01日	高雄市梓官區信義路 / 高雄市梓官區進學路	死亡0;受傷1	普通重型-機車;其他特種車-特種車	120.262816	22.760346
110年01月01日	高雄市三民區九如二路前0.0公尺	死亡0;受傷2	普通重型-機車;普通重型-機車	120.302613	22.641237
110年01月01日	高雄市林園區沿海路2段 / 高雄市林園區文賢南路	死亡0;受傷2	普通重型-機車;自用-小貨車(含客、貨兩用)	120.393329	22.50016
110年01月01日	高雄市美濃區中正路3段 / 高雄市美濃區中正路3段	死亡0;受傷1	普通重型-機車;計程車-小客車	120.536482	22.852063
110年01月01日	高雄市鳳山區國泰路2段81號前0.0公尺	死亡0;受傷1	普通重型-機車;自用-小客車	120.3462	22.62051
110年01月01日	高雄市桃源區台20省道90.5K號前0.0公尺	死亡0;受傷1	普通重型-機車	120.77	23.16156
110年01月01日	高雄市鳳山區中山東路 / 高雄市鳳山區鳳捷路	死亡0;受傷1	自用-小客車;普通重型-機車	120.381503	22.628703
110年01月01日	高雄市路竹區中山路460之1號前0.0公尺	死亡0;受傷3	普通重型-機車;普通重型-機車;乘客-人	120.2587	22.86171
110年01月01日	高雄市鳳山區五甲一路 / 高雄市鳳山區松江街	死亡0;受傷2	普通重型-機車;普通重型-機車	120.356281	22.620051
110年01月01日	高雄市鳳山區曹公路 / 高雄市鳳山區和平路	死亡0;受傷1	普通重型-機車;計程車-小客車	120.357778	22.63221
110年01月01日	高雄市三民區民族一路 / 高雄市三民區民族一路	死亡0;受傷2	自用-小客車;普通重型-機車;乘客-人	120.3147	22.64421
110年01月01日	高雄市燕巢區深水路深水254燈桿號前0.0公尺	死亡0;受傷1	自用-小客車;普通重型-機車	120.410106	22.781966
110年01月01日	高雄市前金區民生二路 / 高雄市前金區自強二路	死亡0;受傷1	自用-小客車;普通重型-機車	120.3089	22.63086
110年01月01日	高雄市鳥松區松藝路鳥松0016路燈號前0.0公尺前	死亡0;受傷1	普通重型-機車	120.34327	22.670197
110年01月01日	高雄市左營區博愛二路 / 高雄市左營區明華一路	死亡0;受傷1	租賃車-小客車;普通重型-機車	120.30152	22.62716
110年01月01日	高雄市左營區左營大路 / 高雄市左營區屏和街	死亡0;受傷1	自用-小客車;普通重型-機車	120.300661	22.694779
110年01月01日	高雄市三民區博愛一路 / 高雄市三民區北平二街	死亡0;受傷3	自用-小客車;普通重型-機車;普通重型-機車	120.3032	22.65043
110年01月01日	高雄市前鎮區育樂路 / 高雄市前鎮區賢明路	死亡0;受傷1	普通重型-機車;普通重型-機車	120.323399	22.608511
110年01月01日	高雄市仁武區澄觀路文武0965桿號前0.0公尺	死亡0;受傷2	普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人	120.3586	22.69576
110年01月01日	高雄市旗山區旗南一路341號前0.0公尺前	死亡0;受傷1	自用-小客車;自用-小客車	120.4743	22.87309
110年01月01日	高雄市橋頭區甲新路 / 高雄市橋頭區社邊路	死亡0;受傷2	普通重型-機車;普通重型-機車	120.292034	22.743586
110年01月01日	高雄市大樹區中興西路 / 高雄市大樹區實踐街	死亡0;受傷1	普通重型-機車;普通重型-機車	120.4321	22.69079
110年01月01日	高雄市大社區中山路134號前0.0公尺前	死亡0;受傷2	自用-小客車;普通重型-機車;乘客-人	120.34689	22.731879
110年01月01日	高雄市田寮區國道3號 379公里200.0公尺處南側向內側	死亡0;受傷13	自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人	120.381735	22.851159
110年01月01日	高雄市左營區左營新路 / 高雄市左營區孔營路	死亡0;受傷3	普通重型-機車;普通重型-機車;乘客-人	120.2968	22.68842
110年01月01日	高雄市大社區中正路 / 高雄市大社區保舍甲路	死亡0;受傷1	自用-小貨車(含客、貨兩用);普通重型-機車	120.349733	22.744481
110年01月01日	高雄市鳳山區文濱路71號前0.0公尺	死亡0;受傷1	普通重型-機車;自用-小客車	120.348748	22.641461
110年01月01日	高雄市鳳山區民生路 / 高雄市鳳山區花園街	死亡0;受傷1	普通重型-機車;普通重型-機車	120.361257	22.627677
